threshold,roc_auc,pr_auc,brier_score,accuracy,balanced_accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,f2,flagged_customers,flagged_rate
0.29,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7999645012424565,0.807453450779396,0.5878701050620821,0.8234113712374582,0.6859849540261911,3276,863,264,1231,0.7623235075551151,2094,0.37167199148029817
0.3,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8045793397231097,0.8082441996798542,0.5962854349951124,0.8160535117056856,0.689070883931093,3313,826,275,1220,0.7600299028158485,2046,0.36315228966986157
0.31,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8067092651757188,0.8079846569179217,0.6005946481665014,0.8107023411371237,0.6900085397096499,3333,806,283,1212,0.7576894223555889,2018,0.35818246361377354
0.32,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8097266595669151,0.8076881866833231,0.6068721576553815,0.8033444816053512,0.6914219919401267,3361,778,294,1201,0.7544917703229049,1979,0.3512602058927938
0.33,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8136315228966986,0.8086366651825647,0.6146316331787738,0.7979933110367893,0.6944121071012805,3391,748,302,1193,0.7530614821360939,1941,0.34451544195953143
0.34,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8162939297124601,0.8080985906957314,0.6207983193277311,0.7906354515050167,0.6954986760812003,3417,722,313,1182,0.7496194824961948,1904,0.3379481718139865
0.35,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8196663116790912,0.8088983088510384,0.6280064136825227,0.7859531772575251,0.6981580510992276,3443,696,320,1175,0.7483123169023055,1871,0.3320908768193113
0.36,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8210862619808307,0.8075146194813831,0.6322650733297122,0.7785953177257525,0.697841726618705,3462,677,331,1164,0.744150364403529,1841,0.32676606318778845
0.37,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.822861199858005,0.8070134724672158,0.6369146005509642,0.7732441471571906,0.6984894259818731,3480,659,339,1156,0.7415009621552278,1815,0.32215122470713525
0.38,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8260560880369187,0.8076923884964055,0.6444195176668536,0.768561872909699,0.7010372178157414,3505,634,346,1149,0.7400489501481387,1783,0.3164714235001775
0.39,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8267660631877884,0.8049709064846097,0.6483704974271012,0.7585284280936455,0.6991368680641183,3524,615,361,1134,0.7336007245439254,1749,0.3104366347177849
0.4,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8271210507632233,0.802007820220579,0.6517181129877694,0.748494983277592,0.6967621419676214,3541,598,376,1119,0.726906586981941,1717,0.3047568335108271
0.41,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8296059637912673,0.8007080055043752,0.6597014925373135,0.7391304347826086,0.6971608832807571,3569,570,390,1105,0.7217504898758981,1675,0.2973020944266951
0.42,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8297834575789848,0.7980514091830625,0.662621359223301,0.7304347826086957,0.6948775055679287,3583,556,403,1092,0.7157839538542213,1648,0.29250976215832447
0.43,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8306709265175719,0.7963053134350548,0.6668723010487353,0.7230769230769231,0.6938382541720154,3599,540,414,1081,0.7110906459676358,1621,0.28771742988995386
0.44,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8329783457578984,0.7957392807304045,0.674433249370277,0.7163879598662207,0.69477781381771,3622,517,424,1071,0.7075845665961945,1588,0.28186013489527867
0.45,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8333333333333334,0.791921610328703,0.6795865633074936,0.7036789297658863,0.6914229378902399,3643,496,443,1052,0.6987247608926673,1548,0.2747603833865815
0.46,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8359957401490948,0.7922381199795404,0.6879526003949967,0.6989966555183946,0.6934306569343066,3665,474,450,1045,0.6967595679423924,1519,0.269613063542776
0.47,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8361732339368122,0.78936787762381,0.6919463087248322,0.6896321070234114,0.6907872696817421,3680,459,464,1031,0.6900937081659974,1490,0.2644657436989705
0.48,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8370607028753994,0.7874081358413847,0.6974674880219028,0.6816053511705685,0.6894451962110961,3697,442,476,1019,0.6847197957263809,1461,0.25931842385516507
0.49,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8375931842385517,0.7845658517034716,0.7030812324929971,0.671571906354515,0.6869654464591174,3715,424,491,1004,0.677645788336933,1428,0.2534611288604899
0.5,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8397231096911608,0.7836653708382859,0.712338593974175,0.6642140468227424,0.6874350986500519,3738,401,502,993,0.6733116354759967,1394,0.24742634007809727
0.51,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8391906283280085,0.7798846279092506,0.7157509157509158,0.6535117056856188,0.6832167832167833,3751,388,518,977,0.6650782845473111,1365,0.2422790202342918
0.52,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8386581469648562,0.7763175310146329,0.71898355754858,0.6434782608695652,0.6791387222026121,3763,376,533,962,0.6572834107679694,1338,0.2374866879659212
0.53,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8386581469648562,0.7735401325672027,0.7233231707317073,0.6347826086956522,0.6761667260420378,3776,363,546,949,0.6507131102578168,1312,0.232871849485268
0.54,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8370607028753994,0.7686072848126275,0.7245136186770428,0.622742474916388,0.6697841726618705,3785,354,564,931,0.6407432897453544,1285,0.2280795172168974
0.55,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.835285764998225,0.763339988897517,0.7255369928400954,0.6100334448160535,0.6627906976744186,3794,345,583,912,0.6300953433743264,1257,0.22310969116080936
0.56,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8367057152999645,0.7619562995278617,0.7343113284433578,0.6026755852842809,0.6620132255694342,3813,326,594,901,0.6250867212432357,1227,0.21778487752928646
0.57,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8375931842385517,0.7587146815389302,0.7445193929173693,0.5906354515050167,0.6587094367773219,3836,303,612,883,0.6161038236114987,1186,0.21050763223287186
0.58,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8384806531771388,0.7554730635499987,0.7554585152838428,0.5785953177257525,0.6553030303030303,3859,280,630,865,0.6070175438596491,1145,0.20323038693645723
0.59,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8368832090876819,0.7503265697610058,0.7580645161290323,0.565886287625418,0.6480275756415167,3869,270,649,846,0.5961104847801578,1116,0.19808306709265175
0.6,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8359957401490948,0.7445950543043939,0.766076421248835,0.5498327759197325,0.6401869158878505,3888,251,673,822,0.5827307528711186,1073,0.19045083422080228
0.61,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8342208022719205,0.7391141123548657,0.7689357622243528,0.5364548494983278,0.6319936958234831,3898,241,693,802,0.5709810622241207,1043,0.18512602058927938
0.62,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8349307774227902,0.7361789843086523,0.7805362462760675,0.525752508361204,0.6282973621103117,3918,221,709,786,0.562473164448261,1007,0.1787362442314519
0.63,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8333333333333334,0.7306051984508238,0.7854209445585215,0.5117056856187291,0.6196840826245443,3930,209,730,765,0.5500431406384815,974,0.1728789492367767
0.64,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8331558395456159,0.7264251216707702,0.7961579509071505,0.49899665551839467,0.6134868421052632,3948,191,749,746,0.5392511204279312,937,0.16631167909123182
0.65,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8322683706070287,0.7219754824206646,0.8035320088300221,0.48695652173913045,0.6064139941690962,3961,178,767,728,0.5286087714202731,906,0.16080937167199147
0.66,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8303159389421371,0.7165873843794366,0.8065984072810012,0.474247491638796,0.5973041280539174,3969,170,786,709,0.5168391893862079,879,0.15601703940362088
0.67,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8255236066737665,0.7056344697352293,0.8069544364508393,0.45016722408026755,0.5779304422498927,3978,161,822,673,0.49383621954798945,834,0.14802981895633652
0.68,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8235711750088747,0.6991781415219129,0.8143036386449184,0.43411371237458196,0.5663176265270506,3991,148,846,649,0.4788254389848015,797,0.14146254881079162
